POOL,PANEL,BARCODE,ORIGEN,POOL_NORMALIZACION
BOX_13_JUL,AMR,281,ROSA,TANDA_1
BOX_17_JUL,AMR,282,ROSA,TANDA_1
BOX_19_JUL,AMR,283,ROSA,TANDA_1
BOX_16_JUL,AMR,284,ROSA,TANDA_1
BOX_21_JUL,AMR,285,ROSA,TANDA_1
BOX_22_JUL,AMR,286,ROSA,TANDA_1
BOX_23_JUL,AMR,287,ROSA,TANDA_1
BOX_37_JUL,AMR,288,VERDE,TANDA_1
BOX_38_JUL,AMR,290,VERDE,TANDA_1
BOX_39_JUL,AMR,289,VERDE,TANDA_1
BOX_41_JUL,AMR,291,VERDE,TANDA_1
BOX_42_JUL,AMR,292,VERDE,TANDA_1
BOX_13_MM,AMR,401,ROSA,TANDA_2
BOX_14_MM,AMR,402,ROSA,TANDA_2
BOX_15_MM,AMR,403,ROSA,TANDA_2
BOX_16_MM,AMR,404,ROSA,TANDA_2
BOX_17_MM,AMR,405,ROSA,TANDA_2
BOX_18_MM,AMR,406,ROSA,TANDA_2
BOX_37_MM,AMR,407,VERDE,TANDA_2
BOX_38_MM,AMR,408,VERDE,TANDA_2
BOX_39_MM,AMR,409,VERDE,TANDA_2
BOX_40_MM,AMR,410,VERDE,TANDA_2
BOX_41_MM,AMR,411,VERDE,TANDA_2
BOX_45_MM,AMR,412,VERDE,TANDA_2
BOX_13_DIC,AMR,413,ROSA,TANDA_3
BOX_15_DIC,AMR,414,ROSA,TANDA_3
BOX_16_DIC,AMR,415,ROSA,TANDA_3
BOX_17_DIC,AMR,416,ROSA,TANDA_3
BOX_18_DIC,AMR,417,ROSA,TANDA_3
BOX_22_DIC,AMR,418,ROSA,TANDA_3
BOX_23_DIC,AMR,419,ROSA,TANDA_3
BOX_38_DIC,AMR,420,VERDE,TANDA_3
BOX_39_DIC,AMR,421,VERDE,TANDA_3
BOX_40_DIC,AMR,422,VERDE,TANDA_3
BOX_41_DIC,AMR,423,VERDE,TANDA_3
BOX_44_DIC,AMR,424,VERDE,TANDA_3
